"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,16,2,270.83,0,123.23,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,16,3,826.46,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,16,4,0,2632.53,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,16,5,0,282.55,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,17,2,0,0,0,147.96,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,17,3,0,0,0,204.07,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,17,4,0,31860.41,0,33.78,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,17,5,0,6498.61,0,38.87,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,21,2,0,0,138.21,0,0,0,77.53,0,0,0,0,0,0,0,0,0
1979,3,21,3,0,0,16.39,0,0,0,9.19,0,0,0,0,0,0,0,0,0
1979,3,21,4,403.93,0,2.55,0,27.87,0,1.43,0,0,0,0,0,0,0,0,0
1979,3,21,5,0,0,0.2,0,0,0,0.11,0,0,0,0,0,0,0,0,0
1979,3,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,23,2,180.55,0,328.98,0,26.18,0,387.82,0,0,0,0,0,0,0,0,0
1979,3,23,3,0,0,3.05,0,0,0,3.59,0,0,0,0,0,0,0,0,0
1979,3,23,4,0,0,0.72,0,0,0,0.85,0,0,0,0,0,0,0,0,0
1979,3,23,5,0,0,0.09,0,0,0,0.1,0,0,0,0,0,0,0,0,0
1979,3,24,2,813.47,0,249.28,0,56.13,0,53.42,0,0,0,0,0,0,0,0,0
1979,3,24,3,1747.28,0,9.66,0,120.56,0,2.07,0,0,0,0,0,0,0,0,0
1979,3,24,4,1144.47,0,2.28,0,78.97,0,0.49,0,0,0,0,0,0,0,0,0
1979,3,24,5,847.59,0,0,0,58.48,0,0,0,0,0,0,0,0,0,0,0
1979,3,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,3,2,229.27,0,2205.33,0,3.9,0,147.02,0,0,0,0,0,0,0,0,0
1979,4,3,3,18686.67,0,1649.66,0,317.67,0,109.98,0,0,0,0,0,0,0,0,0
1979,4,3,4,13070.07,0,160.87,0,222.19,0,10.72,0,0,0,0,0,0,0,0,0
1979,4,3,5,349.8,0,3.29,0,5.95,0,0.22,0,0,0,0,0,0,0,0,0
1979,4,5,2,691.06,0,5033.26,0,11.75,0,335.55,0,0,0,0,0,0,0,0,0
1979,4,5,3,22455.29,0,3109.12,0,381.74,0,207.27,0,0,0,0,0,0,0,0,0
1979,4,5,4,8860.7,0,468.59,0,150.63,0,31.24,0,0,0,0,0,0,0,0,0
1979,4,5,5,0,0,21.83,0,0,0,1.46,0,0,0,0,0,0,0,0,0
1979,4,6,2,4184.74,0,2912.15,0,71.14,0,194.14,0,0,0,0,0,0,0,0,0
1979,4,6,3,50453.35,0,106.06,0,857.71,0,7.07,0,0,0,0,0,0,0,0,0
1979,4,6,4,52577.82,0,3.5,0,893.82,0,0.23,0,0,0,0,0,0,0,0,0
1979,4,6,5,70.55,0,2.71,0,1.2,0,0.18,0,0,0,0,0,0,0,0,0
1979,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,8,4,0,248.14,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,9,2,5758.82,0,1080.52,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,9,3,710.61,0,145.81,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,10,2,575.88,0,389.72,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,10,3,805.36,0,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,11,2,499.1,0,296.25,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,11,3,1563.34,0,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,11,4,0,165.43,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,11,5,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,12,2,4837.41,0,1257.41,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,12,3,1610.72,0,140.76,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,12,4,0,909.84,0,71.49,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,12,5,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,13,2,2687.45,0,794.04,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,13,3,568.49,0,88.89,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,14,2,1535.68,0,773.94,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,14,3,1515.97,0,86.64,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,14,4,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,14,5,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,16,2,5221.33,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,16,3,5637.51,0,66.76,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,16,4,0,744.42,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,16,5,0,70.38,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,17,2,0,20535.16,0,1912.67,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,17,3,0,11658.02,0,440.25,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,17,4,0,1985.11,0,59.18,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,17,5,0,140.75,0,67.93,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,21,2,1919.61,0,685.26,0,132.45,0,384.41,0,0,0,0,0,0,0,0,0
1979,4,21,3,9001.07,0,76.71,0,621.07,0,43.03,0,0,0,0,0,0,0,0,0
1979,4,21,4,1628.8,0,7.25,0,112.39,0,4.07,0,0,0,0,0,0,0,0,0
1979,4,21,5,282.21,0,0.25,0,19.47,0,0.14,0,0,0,0,0,0,0,0,0
1979,4,22,2,1650.86,0,799.22,0,239.37,0,942.17,0,0,0,0,0,0,0,0,0
1979,4,22,3,2368.7,0,6.99,0,343.46,0,8.24,0,0,0,0,0,0,0,0,0
1979,4,22,4,0,0,1.01,0,0,0,1.19,0,0,0,0,0,0,0,0,0
1979,4,22,5,0,0,0.06,0,0,0,0.07,0,0,0,0,0,0,0,0,0
1979,4,23,2,4530.27,0,1631.14,0,656.89,0,1922.89,0,0,0,0,0,0,0,0,0
1979,4,23,3,3932.04,0,14.27,0,570.15,0,16.82,0,0,0,0,0,0,0,0,0
1979,4,23,4,325.34,0,2.06,0,47.17,0,2.42,0,0,0,0,0,0,0,0,0
1979,4,23,5,0,0,0.11,0,0,0,0.13,0,0,0,0,0,0,0,0,0
1979,4,24,2,33972.14,0,1235.99,0,2344.08,0,264.86,0,0,0,0,0,0,0,0,0
1979,4,24,3,77061.52,0,45.21,0,5317.25,0,9.69,0,0,0,0,0,0,0,0,0
1979,4,24,4,49841.43,0,6.49,0,3439.06,0,1.39,0,0,0,0,0,0,0,0,0
1979,4,24,5,141.11,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0
1979,4,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,3,2,137.24,0,320.56,0,2.33,0,21.37,0,0,0,0,0,0,0,0,0
1979,5,3,3,3962.98,0,468.81,0,67.37,0,31.25,0,0,0,0,0,0,0,0,0
1979,5,3,4,855.66,0,9.65,0,14.55,0,0.64,0,0,0,0,0,0,0,0,0
1979,5,3,5,179.3,0,0.59,0,3.05,0,0.04,0,0,0,0,0,0,0,0,0
1979,5,5,2,0,0,731.61,0,0,0,48.77,0,0,0,0,0,0,0,0,0
1979,5,5,3,16.05,0,883.57,0,0.27,0,58.9,0,0,0,0,0,0,0,0,0
1979,5,5,4,0,0,28.12,0,0,0,1.87,0,0,0,0,0,0,0,0,0
1979,5,5,5,0,0,3.92,0,0,0,0.26,0,0,0,0,0,0,0,0,0
